,time,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF
0,2000-01-03,0.6573,1.0246,1.6360999999999999,0.5246,1.4474,1.5671
1,2000-01-04,0.6549,1.0292,1.6373,0.5192,1.4527999999999999,1.5572
2,2000-01-05,0.6575,1.0326,1.6419000000000001,0.5194,1.4495,1.5546
3,2000-01-06,0.6533,1.033,1.647,0.5145,1.4603,1.553
4,2000-01-07,0.6551,1.0298,1.6394,0.5175,1.4561,1.5646
5,2000-01-10,0.656,1.0251,1.6369,0.5156,1.4554,1.5699999999999998
6,2000-01-11,0.658,1.0336,1.6467,0.518,1.4564,1.5584
7,2000-01-12,0.6587,1.0308,1.6469,0.5195,1.4544000000000001,1.5632000000000001
8,2000-01-13,0.6671,1.026,1.6459000000000001,0.5232,1.4506999999999999,1.5716999999999999
9,2000-01-14,0.6657,1.0122,1.6353,0.5216,1.4491,1.5946
10,2000-01-17,0.664,1.0119,1.6334,0.5191,1.4501,1.5958
11,2000-01-18,0.6657,1.0152,1.6383999999999999,0.5171,1.4506999999999999,1.5885
12,2000-01-19,0.6638,1.0125,1.6442,0.5148,1.4522,1.5934
13,2000-01-20,0.6657,1.0167,1.6547,0.5152,1.4466999999999999,1.5846
14,2000-01-21,0.6625,1.0087,1.6488,0.5114,1.4411,1.5972
15,2000-01-24,0.6537,1.0071,1.6537,0.5068,1.4435,1.6
16,2000-01-25,0.6553,1.0012,1.6449,0.5083,1.4365999999999999,1.6113
17,2000-01-26,0.6518,1.0003,1.6398000000000001,0.5081,1.4385,1.6109
18,2000-01-27,0.6532,0.9882,1.6391,0.5032,1.4348,1.6327
19,2000-01-28,0.6345,0.9749,1.6195,0.4912,1.4451,1.6481
20,2000-01-31,0.6372,0.9711,1.6156000000000001,0.4968,1.4468,1.6564
21,2000-02-01,0.6378,0.9713,1.6146,0.4946,1.4485000000000001,1.6572
22,2000-02-02,0.6387,0.9765,1.6085,0.4964,1.4383,1.6502
